  PWAT-PARM3
*** < PLS>    PETMAX    PETMIN    INFEXP    INFILD    DEEPFR    BASETP    AGWETP
*** x  - x   (deg F)   (deg F)
***<IHM_PWAT_PARM3>
   11             40        35     2.000         2      1.00         0         0
   12             40        35     2.000         2      1.00         0         0
   13             40        35     2.000         2      1.00         0         0
   14             40        35     2.000         2      1.00         0         0
   15             40        35     2.000         2      1.00         0         0
   21             40        35     2.000         2      1.00         0         0
   22             40        35     2.000         2      1.00         0         0
   23             40        35     2.000         2      1.00         0         0
   24             40        35     2.000         2      1.00         0         0
   25             40        35     2.000         2      1.00         0         0
   31             40        35     2.000         2      1.00         0         0
   32             40        35     2.000         2      1.00         0         0
   33             40        35     2.000         2      1.00         0         0
   34             40        35     2.000         2      1.00         0         0
   35             40        35     2.000         2      1.00         0         0
   41             40        35     2.000         2      1.00         0         0
   42             40        35     2.000         2      1.00         0         0
   43             40        35     2.000         2      1.00         0         0
   44             40        35     2.000         2      1.00         0         0
   45             40        35     2.000         2      1.00         0         0
   51             40        35     2.000         2      1.00         0         0
   52             40        35     2.000         2      1.00         0         0
   53             40        35     2.000         2      1.00         0         0
   54             40        35     2.000         2      1.00         0         0
   55             40        35     2.000         2      1.00         0         0
   61             40        35     2.000         2      1.00         0         0
   62             40        35     2.000         2      1.00         0         0
   64             40        35     2.000         2      1.00         0         0
   65             40        35     2.000         2      1.00         0         0
   71             40        35     2.000         2      1.00         0         0
   72             40        35     2.000         2      1.00         0         0
   73             40        35     2.000         2      1.00         0         0
   74             40        35     2.000         2      1.00         0         0
   75             40        35     2.000         2      1.00         0         0
   81             40        35     5.200         2      1.00         0         0
   82             40        35     5.200         2      1.00         0         0
   83             40        35     5.200         2      1.00         0         0
   85             40        35     5.200         2      1.00         0         0
   91             40        35     3.120         2      1.00         0         0
   92             40        35     3.120         2      1.00         0         0
   93             40        35     3.120         2      1.00         0         0
   94             40        35     3.120         2      1.00         0         0
   95             40        35     3.120         2      1.00         0         0
  101             40        35     2.000         2      1.00         0         0
  102             40        35     2.000         2      1.00         0         0
  103             40        35     2.000         2      1.00         0         0
  104             40        35     2.000         2      1.00         0         0
  105             40        35     2.000         2      1.00         0         0
  111             40        35     2.000         2      1.00         0         0
  112             40        35     2.000         2      1.00         0         0
  113             40        35     2.000         2      1.00         0         0
  114             40        35     2.000         2      1.00         0         0
  115             40        35     2.000         2      1.00         0         0
  121             40        35     2.000         2      1.00         0         0
  122             40        35     2.000         2      1.00         0         0
  123             40        35     2.000         2      1.00         0         0
  124             40        35     2.000         2      1.00         0         0
  125             40        35     2.000         2      1.00         0         0
  131             40        35     2.000         2      1.00         0         0
  132             40        35     2.000         2      1.00         0         0
  133             40        35     2.000         2      1.00         0         0
  134             40        35     2.000         2      1.00         0         0
  135             40        35     2.000         2      1.00         0         0
  141             40        35     2.000         2      1.00         0         0
  142             40        35     2.000         2      1.00         0         0
  143             40        35     2.000         2      1.00         0         0
  144             40        35     2.000         2      1.00         0         0
  145             40        35     2.000         2      1.00         0         0
  151             40        35     2.000         2      1.00         0         0
  152             40        35     2.000         2      1.00         0         0
  153             40        35     2.000         2      1.00         0         0
  154             40        35     2.000         2      1.00         0         0
  155             40        35     2.000         2      1.00         0         0
  161             40        35     2.000         2      1.00         0         0
  162             40        35     2.000         2      1.00         0         0
  163             40        35     2.000         2      1.00         0         0
  164             40        35     2.000         2      1.00         0         0
  165             40        35     2.000         2      1.00         0         0
  171             40        35     2.791         2      1.00         0         0
  172             40        35     2.791         2      1.00         0         0
  173             40        35     2.791         2      1.00         0         0
  174             40        35     2.791         2      1.00         0         0
  175             40        35     2.791         2      1.00         0         0
  181             40        35     2.791         2      1.00         0         0
  182             40        35     2.791         2      1.00         0         0
  183             40        35     2.791         2      1.00         0         0
  184             40        35     2.791         2      1.00         0         0
  185             40        35     2.791         2      1.00         0         0
  191             40        35     2.791         2      1.00         0         0
  192             40        35     2.791         2      1.00         0         0
  193             40        35     2.791         2      1.00         0         0
  194             40        35     2.791         2      1.00         0         0
  195             40        35     2.791         2      1.00         0         0
  201             40        35     2.000         2      1.00         0         0
  202             40        35     2.000         2      1.00         0         0
  203             40        35     2.000         2      1.00         0         0
  204             40        35     2.000         2      1.00         0         0
  205             40        35     2.000         2      1.00         0         0
  211             40        35     2.791         2      1.00         0         0
  212             40        35     2.791         2      1.00         0         0
  213             40        35     2.791         2      1.00         0         0
  214             40        35     2.791         2      1.00         0         0
  215             40        35     2.791         2      1.00         0         0
  221             40        35     2.000         2      1.00         0         0
  222             40        35     2.000         2      1.00         0         0
  224             40        35     2.000         2      1.00         0         0
  225             40        35     2.000         2      1.00         0         0
  231             40        35     3.040         2      1.00         0         0
  232             40        35     3.040         2      1.00         0         0
  233             40        35     3.040         2      1.00         0         0
  234             40        35     3.040         2      1.00         0         0
  235             40        35     3.040         2      1.00         0         0
  241             40        35     3.040         2      1.00         0         0
  242             40        35     3.040         2      1.00         0         0
  243             40        35     3.040         2      1.00         0         0
  244             40        35     3.040         2      1.00         0         0
  245             40        35     3.040         2      1.00         0         0
  251             40        35     3.040         2      1.00         0         0
  252             40        35     3.040         2      1.00         0         0
  253             40        35     3.040         2      1.00         0         0
  254             40        35     3.040         2      1.00         0         0
  255             40        35     3.040         2      1.00         0         0
  261             40        35     2.000         2      1.00         0         0
  262             40        35     2.000         2      1.00         0         0
  263             40        35     2.000         2      1.00         0         0
  264             40        35     2.000         2      1.00         0         0
  265             40        35     2.000         2      1.00         0         0
  271             40        35     2.000         2      1.00         0         0
  272             40        35     2.000         2      1.00         0         0
  273             40        35     2.000         2      1.00         0         0
  274             40        35     2.000         2      1.00         0         0
  275             40        35     2.000         2      1.00         0         0
  281             40        35     2.000         2      1.00         0         0
  282             40        35     2.000         2      1.00         0         0
  283             40        35     2.000         2      1.00         0         0
  284             40        35     2.000         2      1.00         0         0
  285             40        35     2.000         2      1.00         0         0
  361             40        35     2.000         2      1.00         0         0
  362             40        35     2.000         2      1.00         0         0
  363             40        35     2.000         2      1.00         0         0
  364             40        35     2.000         2      1.00         0         0
  365             40        35     2.000         2      1.00         0         0
  391             40        35     2.000         2      1.00         0         0
